"res_entry_id","political_function"
"CH_Beguelin_Michel_1936__1","NT_LE-UH_T3_NA_01"
"CH_Beguelin_Michel_1936__2","NT_LE-LH_T3_NA_01"
"CH_Beguin_Thierry_1947__1","NT_LE-UH_T3_NA_01"
"CH_Belser_Eduard_1942__1","NT_LE-UH_T3_NA_01"
"CH_Bendahan_Samuel_1980__1","NT_LE-LH_T3_NA_01"
"CH_Berberat_Didier_1956__1","NT_LE-UH_T3_NA_01"
"CH_Berberat_Didier_1956__2","NT_LE-LH_T3_NA_01"
"CH_Berger_Claude_1921__1","NT_LE-LH_T3_NA_01"
"CH_Berger_Fritz_1897__1","NT_LE-LH_T3_NA_01"
"CH_Berger_Gallus_1903__1","NT_LE-LH_T3_NA_01"
"CH_Berger_Hermann_1905__1","NT_LE-LH_T3_NA_01"
"CH_Berger_Jean_1929__1","NT_LE-LH_T3_NA_01"
"CH_Berger_Michele_1944__1","NT_LE-UH_T3_NA_01"
"CH_Bernasconi_Madeleine_1939__1","NT_LE-LH_T3_NA_01"
"CH_Bernhardsgruetter_Urs_1962__1","NT_LE-LH_T3_NA_01"
"CH_Bernoulli_Hans_1876__1","NT_LE-LH_T3_NA_01"
"CH_Berset_Alain_1972__1","NT_LE-UH_T3_NA_01"
"CH_Bertholet_Raymond_1909__1","NT_LE-LH_T3_NA_01"
"CH_Berthoud_Henri_1877__1","NT_LE-LH_T3_NA_01"
"CH_Berthoud_Henri_1877__2","NT_LE-LH_T3_NA_01"
"CH_Bertschy_Kathrin_1979__1","NT_LE-LH_T3_NA_01"
"CH_Besuchet_Roger_1928__1","NT_LE-LH_T3_NA_01"
"CH_Bezzola_Duri_1942__1","NT_LE-LH_T3_NA_01"
"CH_Biderbost_Paul_1927__1","NT_LE-LH_T3_NA_01"
"CH_Biel_Walter_1933__1","NT_LE-LH_T3_NA_01"
"CH_Bienz_Otto_1910__1","NT_LE-LH_T3_NA_01"
"CH_Bieri_Ernst_1920__1","NT_LE-LH_T3_NA_01"
"CH_Bieri_Peter_1952__1","NT_LE-UH_T3_NA_01"
"CH_Bigger_Elmar_1949__1","NT_LE-LH_T3_NA_01"
"CH_Bigler_Hans_1958__1","NT_LE-LH_T3_NA_01"
"CH_Bignasca_Attilio_1943__1","NT_LE-LH_T3_NA_01"
"CH_Bignasca_Giuliano_1945__1","NT_LE-LH_T3_NA_01"
"CH_Bignasca_Giuliano_1945__2","NT_LE-LH_T3_NA_01"
"CH_Bill_Max_1908__1","NT_LE-LH_T3_NA_01"
"CH_Binder_Julius_1925__1","NT_LE-UH_T3_NA_01"
"CH_Binder_Julius_1925__2","NT_LE-LH_T3_NA_01"
"CH_Binder_Max_1947__1","NT_LE-LH_T3_NA_01"
"CH_Bircher_Ernst_1910__1","NT_LE-LH_T3_NA_01"
"CH_Bircher_Eugen_1882__1","NT_LE-LH_T3_NA_01"
"CH_Bircher_Peter_1939__1","NT_LE-LH_T3_NA_01"
"CH_Bircher_Silvio_1945__1","NT_LE-LH_T3_NA_01"
"CH_Birrer_Julius_1909__1","NT_LE-LH_T3_NA_01"
"CH_Birrer_Prisca_1959__1","NT_LE-LH_T3_NA_01"
"CH_Bischof_Leonhard_1957__1","NT_LE-LH_T3_NA_01"
"CH_Bischof_Pirmin_1959__1","NT_LE-UH_T3_NA_01"
"CH_Bischof_Pirmin_1959__2","NT_LE-LH_T3_NA_01"
"CH_Bischofberger_Ivo_1958__1","NT_LE-UH_T3_NA_01"
"CH_Bisig_Hans_1942__1","NT_LE-UH_T3_NA_01"
"CH_Blanc_Edmond_1908__1","NT_LE-LH_T3_NA_01"
"CH_Blaser_Adolf_1908__1","NT_LE-LH_T3_NA_01"
"CH_Blaser_Emmanuella_1945__1","NT_LE-LH_T3_NA_01"
"CH_Blatter_Ulrich_1940__1","NT_LE-LH_T3_NA_01"
"CH_Blatti_Fritz_1910__1","NT_LE-LH_T3_NA_01"
"CH_Blocher_Christoph_1940__1","NT_LE-LH_T3_NA_01"
"CH_Blocher_Christoph_1940__2","NT_LE-LH_T3_NA_01"
"CH_Bloetzer_Peter_1933__1","NT_LE-UH_T3_NA_01"
"CH_Blum_Andreas_1938__1","NT_LE-LH_T3_NA_01"
"CH_Blunschy_Elisabeth_1922__1","NT_LE-LH_T3_NA_01"
"CH_Bochatay_Armand_1915__1","NT_LE-LH_T3_NA_01"
"CH_Bodenmann_Hermann_1921__1","NT_LE-UH_T3_NA_01"
"CH_Bodenmann_Marino_1893__1","NT_LE-LH_T3_NA_01"
"CH_Bodenmann_Marino_1893__2","NT_LE-LH_T3_NA_01"
"CH_Bodenmann_Peter_1952__1","NT_LE-LH_T3_NA_01"
"CH_Boehni_Thomas_1964__1","NT_LE-LH_T3_NA_01"
"CH_Boerlin_Ernst_1905__1","NT_LE-LH_T3_NA_01"
"CH_Boesch_Emil_1909__1","NT_LE-LH_T3_NA_01"
"CH_Boffa_Amedeo_1900__1","NT_LE-LH_T3_NA_01"
"CH_Bolla_Ferruccio_1911__1","NT_LE-UH_T3_NA_01"
"CH_Bommer_Alois_1913__1","NT_LE-LH_T3_NA_01"
"CH_Boner_Adolf_1901__1","NT_LE-LH_T3_NA_01"
"CH_Bonhote_Pierre_1965__1","NT_LE-UH_T3_NA_01"
"CH_Bonnard_Claude_1922__1","NT_LE-LH_T3_NA_01"
"CH_Bonny_Jean_1931__1","NT_LE-LH_T3_NA_01"
"CH_Bonvin_Hubert_1944__1","NT_LE-LH_T3_NA_01"
"CH_Bonvin_Roger_1907__1","NT_LE-LH_T3_NA_01"
"CH_Bordoni_Rodolfo_1897__1","NT_LE-LH_T3_NA_01"
"CH_Borel_Alfred_1902__1","NT_LE-UH_T3_NA_01"
"CH_Borel_Alfred_1902__2","NT_LE-LH_T3_NA_01"
"CH_Borel_Francois_1948__1","NT_LE-LH_T3_NA_01"
"CH_Borel_Georges_1900__1","NT_LE-LH_T3_NA_01"
"CH_Borella_Achille_1908__1","NT_LE-LH_T3_NA_01"
"CH_Borella_Achille_1908__2","NT_LE-LH_T3_NA_01"
"CH_Borella_Achille_1908__3","NT_LE-LH_T3_NA_01"
"CH_Borella_Francesco_1883__1","NT_LE-LH_T3_NA_01"
"CH_Borella_Francesco_1883__2","NT_LE-LH_T3_NA_01"
"CH_Borella_Francesco_1883__3","NT_LE-LH_T3_NA_01"
"CH_Borer_Roland_1951__1","NT_LE-LH_T3_NA_01"
"CH_Borloz_Frederic_1966__1","NT_LE-LH_T3_NA_01"
"CH_Borradori_Marco_1959__1","NT_LE-LH_T3_NA_01"
"CH_Bortoluzzi_Toni_1947__1","NT_LE-LH_T3_NA_01"
"CH_Bosset_Norbert_1883__1","NT_LE-UH_T3_NA_01"
"CH_Bosshard_Walter_1950__1","NT_LE-LH_T3_NA_01"
"CH_Bossi_Bixio_1896__1","NT_LE-UH_T3_NA_01"
"CH_Bossi_Bixio_1896__2","NT_LE-LH_T3_NA_01"
"CH_Bourgeois_Jacques_1958__1","NT_LE-LH_T3_NA_01"
"CH_Bourgknecht_Jean_1902__1","NT_LE-UH_T3_NA_01"
"CH_Bourgknecht_Jean_1902__2","NT_LE-LH_T3_NA_01"
"CH_Braem_Walter_1915__1","NT_LE-LH_T3_NA_01"
"CH_Braendli_Christoffel_1943__1","NT_LE-UH_T3_NA_01"
"CH_Braendli_Heinrich_1900__1","NT_LE-LH_T3_NA_01"
"CH_Brahier_Gaston_1927__1","NT_LE-UH_T3_NA_01"
"CH_Brand_Heinz_1955__1","NT_LE-LH_T3_NA_01"
"CH_Bratschi_Heinz_1925__1","NT_LE-LH_T3_NA_01"
"CH_Bratschi_Robert_1891__1","NT_LE-LH_T3_NA_01"
"CH_Braunschweig_Hansjoerg_1930__1","NT_LE-LH_T3_NA_01"
"CH_Brawand_Marcel_1907__1","NT_LE-LH_T3_NA_01"
"CH_Brawand_Marcel_1907__2","NT_LE-LH_T3_NA_01"
"CH_Brawand_Samuel_1898__1","NT_LE-LH_T3_NA_01"
"CH_Brawand_Samuel_1898__2","NT_LE-LH_T3_NA_01"
"CH_Brechbuehl_Fritz_1897__1","NT_LE-LH_T3_NA_01"
"CH_Bregy_Philipp_1978__1","NT_LE-LH_T3_NA_01"
"CH_Breitenmoser_Albin_1920__1","NT_LE-LH_T3_NA_01"
"CH_Brelaz_Daniel_1950__1","NT_LE-LH_T3_NA_01"
"CH_Brelaz_Daniel_1950__2","NT_LE-LH_T3_NA_01"
"CH_Brelaz_Daniel_1950__3","NT_LE-LH_T3_NA_01"
"CH_Bremi_Ulrich_1929__1","NT_LE-LH_T3_NA_01"
"CH_Breny_Georges_1930__1","NT_LE-LH_T3_NA_01"
"CH_Bretscher_Otto_1911__1","NT_LE-LH_T3_NA_01"
"CH_Bretscher_Willy_1897__1","NT_LE-LH_T3_NA_01"
"CH_Bridel_Georges_1889__1","NT_LE-LH_T3_NA_01"
"CH_Briner_Peter_1943__1","NT_LE-UH_T3_NA_01"
