"parliament_id","snapshot_day","pers_id","parliament_size"
"NL_NT-TK_1905",1905-09-20,"NL_Limburg_Joseph_1866",100
"NL_NT-TK_1905",1905-09-20,"NL_Loeff_Jan_1858",100
"NL_NT-TK_1905",1905-09-20,"NL_Lucasse_Christiaan_1852",100
"NL_NT-TK_1905",1905-09-20,"NL_Marchant_Henri_1869",100
"NL_NT-TK_1905",1905-09-20,"NL_Mees_Pieter_1849",100
"NL_NT-TK_1905",1905-09-20,"NL_Nolens_Wilhelmus_1860",100
"NL_NT-TK_1905",1905-09-20,"NL_Nolting_Piet_1852",100
"NL_NT-TK_1905",1905-09-20,"NL_Okma_Hendrik_1868",100
"NL_NT-TK_1905",1905-09-20,"NL_Passtoors_Willem_1856",100
"NL_NT-TK_1905",1905-09-20,"NL_Patijn_Rudolf_1863",100
"NL_NT-TK_1905",1905-09-20,"NL_Pierson_Nicolaas_1839",100
"NL_NT-TK_1905",1905-09-20,"NL_Plate_Antoine_1845",100
"NL_NT-TK_1905",1905-09-20,"NL_Regout_Robert_1863",100
"NL_NT-TK_1905",1905-09-20,"NL_Reyne_Klaas_1872",100
"NL_NT-TK_1905",1905-09-20,"NL_Roeell_Joan_1844",100
"NL_NT-TK_1905",1905-09-20,"NL_Roessingh_Petrus_1840",100
"NL_NT-TK_1905",1905-09-20,"NL_Roodhuyzen_Antonie_1859",100
"NL_NT-TK_1905",1905-09-20,"NL_Ruijs_Charles_1873",100
"NL_NT-TK_1905",1905-09-20,"NL_Schaper_Jan_1868",100
"NL_NT-TK_1905",1905-09-20,"NL_Schokking_Jan_1864",100
"NL_NT-TK_1905",1905-09-20,"NL_Smeenge_Harm_1852",100
"NL_NT-TK_1905",1905-09-20,"NL_Smidt_Eerke_1858",100
"NL_NT-TK_1905",1905-09-20,"NL_Tak_Piet_1848",100
"NL_NT-TK_1905",1905-09-20,"NL_Talma_Syb_1864",100
"NL_NT-TK_1905",1905-09-20,"NL_terLaan_Kornelis_1871",100
"NL_NT-TK_1905",1905-09-20,"NL_Thomson_Lodewijk_1869",100
"NL_NT-TK_1905",1905-09-20,"NL_Treub_Willem_1858",100
"NL_NT-TK_1905",1905-09-20,"NL_Troelstra_Pieter_1860",100
"NL_NT-TK_1905",1905-09-20,"NL_Tydeman_Map_1854",100
"NL_NT-TK_1905",1905-09-20,"NL_vanAlphen_Jan_1829",100
"NL_NT-TK_1905",1905-09-20,"NL_vanAsch_Hubert_1867",100
"NL_NT-TK_1905",1905-09-20,"NL_vandenBerch_Isaaec_1860",100
"NL_NT-TK_1905",1905-09-20,"NL_vandenBergh_Samuel_1864",100
"NL_NT-TK_1905",1905-09-20,"NL_vandenBergh_Zadok_1859",100
"NL_NT-TK_1905",1905-09-20,"NL_vandenHeuvel_Vincent_1854",100
"NL_NT-TK_1905",1905-09-20,"NL_vanderVlugt_Willem_1853",100
"NL_NT-TK_1905",1905-09-20,"NL_vanderZwaag_Geert_1858",100
"NL_NT-TK_1905",1905-09-20,"NL_vandeVelde_Henri_1855",100
"NL_NT-TK_1905",1905-09-20,"NL_vanDeventer_Conrad_1857",100
"NL_NT-TK_1905",1905-09-20,"NL_vanDoorn_Willem_1853",100
"NL_NT-TK_1905",1905-09-20,"NL_vanForeest_Pieter_1845",100
"NL_NT-TK_1905",1905-09-20,"NL_vanGijn_Hugo_1848",100
"NL_NT-TK_1905",1905-09-20,"NL_vanIdsinga_Johan_1854",100
"NL_NT-TK_1905",1905-09-20,"NL_vanKarnebeek_Abraham_1836",100
"NL_NT-TK_1905",1905-09-20,"NL_vanKol_Henri_1852",100
"NL_NT-TK_1905",1905-09-20,"NL_vanNispen_Octaaf_1867",100
"NL_NT-TK_1905",1905-09-20,"NL_vanSasse_Alexander_1852",100
"NL_NT-TK_1905",1905-09-20,"NL_vanStyrum_Floris_1855",100
"NL_NT-TK_1905",1905-09-20,"NL_vanVeen_Rienk_1865",100
"NL_NT-TK_1905",1905-09-20,"NL_vanVliet_Pieter_1858",100
"NL_NT-TK_1905",1905-09-20,"NL_vanVlijmen_Bernardus_1843",100
"NL_NT-TK_1905",1905-09-20,"NL_vanVuuren_Adrianus_1865",100
"NL_NT-TK_1905",1905-09-20,"NL_vanWichen_Franciscus_1855",100
"NL_NT-TK_1905",1905-09-20,"NL_Verheij_Joor_1851",100
"NL_NT-TK_1905",1905-09-20,"NL_Zijlma_Geuchien_1842",100
"NL_NT-TK_1909",1909-09-22,"NL_Aalberse_Piet_1871",100
"NL_NT-TK_1909",1909-09-22,"NL_Ankerman_Jan_1869",100
"NL_NT-TK_1909",1909-09-22,"NL_Arts_Antoine_1845",100
"NL_NT-TK_1909",1909-09-22,"NL_baronvanDedem_Alexander_1838",100
"NL_NT-TK_1909",1909-09-22,"NL_baronvanderBorch_Allard_1842",100
"NL_NT-TK_1909",1909-09-22,"NL_baronvanHeemstra_Schelto_1842",100
"NL_NT-TK_1909",1909-09-22,"NL_baronvanWassenaer_Otto_1856",100
"NL_NT-TK_1909",1909-09-22,"NL_baronvanWijnbergen_Antonius_1869",100
"NL_NT-TK_1909",1909-09-22,"NL_Beckers_Jean_1860",100
"NL_NT-TK_1909",1909-09-22,"NL_Blum_Johan_1852",100
"NL_NT-TK_1909",1909-09-22,"NL_Bogaardt_Willem_1862",100
"NL_NT-TK_1909",1909-09-22,"NL_Bolsius_Frans_1869",100
"NL_NT-TK_1909",1909-09-22,"NL_Bos_Dirk_1862",100
