sep=,
"parliament_id","leg_period_start","leg_period_end","level","country_abb","region_abb","leg_period","assembly_name","assembly_abb","coalition_parties","previous_parliament","next_parliament","parliament_size","election_date","election_type"
"US_NT-SE_1845","04mar1845","03mar1847","NT","US",NA,29,"Senate","SE",NA,"US_NT-SE_1843","US_NT-SE_1847",58,"05nov1844","regular"
"US_NT-HR_1847","04mar1847","03mar1849","NT","US",NA,30,"House of Representatives","HR",NA,"US_NT-HR_1845","US_NT-HR_1849",230,"03nov1846","regular"
"US_NT-SE_1847","04mar1847","03mar1849","NT","US",NA,30,"Senate","SE",NA,"US_NT-SE_1845","US_NT-SE_1849",60,"03nov1846","regular"
"US_NT-HR_1849","04mar1849","03mar1851","NT","US",NA,31,"House of Representatives","HR",NA,"US_NT-HR_1847","US_NT-HR_1851",233,"07nov1848","regular"
"US_NT-SE_1849","04mar1849","03mar1851","NT","US",NA,31,"Senate","SE",NA,"US_NT-SE_1847","US_NT-SE_1851",62,"07nov1848","regular"
"US_NT-HR_1851","04mar1851","03mar1853","NT","US",NA,32,"House of Representatives","HR",NA,"US_NT-HR_1849","US_NT-HR_1853",233,"05nov1850","regular"
"US_NT-SE_1851","04mar1851","03mar1853","NT","US",NA,32,"Senate","SE",NA,"US_NT-SE_1849","US_NT-SE_1853",62,"05nov1850","regular"
"US_NT-HR_1853","04mar1853","03mar1855","NT","US",NA,33,"House of Representatives","HR",NA,"US_NT-HR_1851","US_NT-HR_1855",233,"02nov1852","regular"
"US_NT-SE_1853","04mar1853","03mar1855","NT","US",NA,33,"Senate","SE",NA,"US_NT-SE_1851","US_NT-SE_1855",62,"02nov1852","regular"
"US_NT-HR_1855","04mar1855","03mar1857","NT","US",NA,34,"House of Representatives","HR",NA,"US_NT-HR_1853","US_NT-HR_1857",234,"07nov1854","regular"
"US_NT-SE_1855","04mar1855","03mar1857","NT","US",NA,34,"Senate","SE",NA,"US_NT-SE_1853","US_NT-SE_1857",62,"07nov1854","regular"
"US_NT-HR_1857","04mar1857","03mar1859","NT","US",NA,35,"House of Representatives","HR",NA,"US_NT-HR_1855","US_NT-HR_1859",237,"04nov1856","regular"
"US_NT-SE_1857","04mar1857","03mar1859","NT","US",NA,35,"Senate","SE",NA,"US_NT-SE_1855","US_NT-SE_1859",66,"04nov1856","regular"
"US_NT-HR_1859","04mar1859","03mar1861","NT","US",NA,36,"House of Representatives","HR",NA,"US_NT-HR_1857","US_NT-HR_1861",238,"02nov1858","regular"
"US_NT-SE_1859","04mar1859","03mar1861","NT","US",NA,36,"Senate","SE",NA,"US_NT-SE_1857","US_NT-SE_1861",68,"02nov1858","regular"
"US_NT-HR_1861","04mar1861","03mar1863","NT","US",NA,37,"House of Representatives","HR",NA,"US_NT-HR_1859","US_NT-HR_1863",183,"06nov1860","regular"
"US_NT-SE_1861","04mar1861","03mar1863","NT","US",NA,37,"Senate","SE",NA,"US_NT-SE_1859","US_NT-SE_1863",68,"06nov1860","regular"
"US_NT-HR_1863","04mar1863","03mar1865","NT","US",NA,38,"House of Representatives","HR",NA,"US_NT-HR_1861","US_NT-HR_1865",183,"04nov1862","regular"
"US_NT-SE_1863","04mar1863","03mar1865","NT","US",NA,38,"Senate","SE",NA,"US_NT-SE_1861","US_NT-SE_1865",72,"04nov1862","regular"
"US_NT-HR_1865","04mar1865","03mar1867","NT","US",NA,39,"House of Representatives","HR",NA,"US_NT-HR_1863","US_NT-HR_1867",193,"08nov1864","regular"
